InChIKey14,broad_id_20170327,deprecated_broad_id_20170327,pert_iname_20170327,broad_id_20180516,deprecated_broad_id_20180516,pert_iname_20180516,broad_id_20180907,deprecated_broad_id_20180907,pert_iname_20180907,broad_id_20200324,deprecated_broad_id_20200324,pert_iname_20200324
NSKGQURZWSPSBC,BRD-A03826781|BRD-A86073102|BRD-K55188888,,ribostamycin|ribostamycin-sulfate,BRD-A03826781|BRD-A86073102|BRD-K55188888,,ribostamycin|ribostamycin-sulfate,BRD-A03826781|BRD-A86073102|BRD-K55188888,,ribostamycin|ribostamycin-sulfate,BRD-K01826536|BRD-K55188888,,ribostamycin|ribostamycin-sulfate
NSMJEHGOMXSLCW,BRD-K48826825,,S26948,BRD-K48826825,,S26948,BRD-K48826825,,S26948,BRD-K48826825,,S26948
NSMXQKNUPPXBRG,BRD-A05334458,,lisofylline,BRD-A05334458,,lisofylline,BRD-A05334458,,lisofylline,BRD-A05334458,,lisofylline
NSOXQYCFHDMMGV,BRD-A78588743,,editol,BRD-A78588743,,editol,BRD-A78588743,,editol,BRD-A78588743,,editol
NSQSAUGJQHDYNO,BRD-K11215326,,tazemetostat,BRD-K11215326,,tazemetostat,BRD-K11215326,,tazemetostat,BRD-K11215326,,tazemetostat
NSTRIRCPWQHTIA,BRD-K56107812,,carbetocin,BRD-K56107812,,carbetocin,BRD-K56107812,,carbetocin,BRD-K56107812,,carbetocin
NSVFSAJIGAJDMR,BRD-A39845846,,efonidipine-monoethanolate,BRD-A39845846,BRD-M92675308,efonidipine-monoethanolate,,,,BRD-K00004292,,efonidipine
NSYZCCDSJNWWJL,BRD-K13846766|BRD-K51677086,,erythromycin-ethylsuccinate,BRD-K51677086,,erythromycin-ethylsuccinate,BRD-K51677086,BRD-K13846766,erythromycin-ethylsuccinate,BRD-K51677086,BRD-K13846766,erythromycin-ethylsuccinate
NTCCRGGIJNDEAB,BRD-K67068943,,ORE1001,BRD-K67068943,,ORE1001,BRD-K67068943,,ORE1001,BRD-K67068943,,ORE1001
NTHPAPBPFQJABD,BRD-K85046107,,ramosetron,BRD-K85046107,,ramosetron,BRD-K85046107,,ramosetron,BRD-K85046107,,ramosetron
NTHXOOBQLCIOLC,BRD-A60217728,,iohexol,BRD-A60217728,,iohexol,BRD-A60217728,,iohexol,BRD-A60217728,,iohexol
NTJOBXMMWNYJFB,BRD-A60197193,,amisulpride,BRD-A60197193,,amisulpride,BRD-A60197193,,amisulpride,BRD-A60197193,,amisulpride
NTNWOCRCBQPEKQ,BRD-K59506194,,targinine,BRD-K59506194,,targinine,BRD-K59506194,,targinine,BRD-K22227508,,targinine
NTSBZVCEIVPKBJ,BRD-K03273112,,1-azakenpaullone,BRD-K03273112,,1-azakenpaullone,BRD-K03273112,,1-azakenpaullone,BRD-K03273112,,1-azakenpaullone
NTWVQPHTOUKMDI,BRD-K20946707,,L-monomethylarginine,BRD-K20946707,,L-monomethylarginine,BRD-K20946707,,L-monomethylarginine,BRD-K20946707,,L-monomethylarginine
NTYJJOPFIAHURM,BRD-K01674964,,histamine,BRD-K01674964,,histamine,BRD-K01674964,BRD-U61402069,histamine,BRD-K01674964,BRD-U61402069,histamine
NUAQIRUAZSJTAI,BRD-A08791201,,norvancomycin,BRD-A08791201,,norvancomycin,BRD-A08791201,,norvancomycin,BRD-K00003706,,norvancomycin
NUHPODZZKHQQET,BRD-A62071884,,siguazodan,BRD-A62071884,,siguazodan,BRD-A62071884,,siguazodan,BRD-A62071884,,siguazodan
NUKYPUAOHBNCPY,BRD-K22482860,,dalfampridine,BRD-K22482860,,dalfampridine,BRD-K22482860,,dalfampridine,BRD-K22482860,,dalfampridine
NULMGOSOSZBEQL,BRD-K90982969,,etilevodopa,BRD-K90982969,,etilevodopa,BRD-K90982969,,etilevodopa,BRD-K90982969,,etilevodopa
NUPUDYKEEJNZRG,BRD-K52681925,,altinicline,BRD-K52681925,,altinicline,BRD-K52681925,,altinicline,BRD-K52681925,,altinicline
NUVBSKCKDOMJSU,BRD-K02464583,,ethyl-paraben,BRD-K02464583,,ethyl-paraben,BRD-K02464583,,ethyl-paraben,BRD-K02464583,,ethyl-paraben
NUZWLKWWNNJHPT,BRD-K04725460,,anthralin,BRD-K04725460,,anthralin,BRD-K04725460,,anthralin,BRD-K04725460,,anthralin
NVBNDZZLJRYRPD,BRD-K67831364,,ZM-323881,BRD-K67831364,,ZM-323881,BRD-K67831364,,ZM-323881,BRD-K67831364,,ZM-323881
NVDBBGBUTKLRSN,BRD-K78096648,,oxiperomide,BRD-K78096648,,oxiperomide,BRD-K78096648,,oxiperomide,BRD-K78096648,,oxiperomide
NVEPPWDVLBMNMB,BRD-K71454870,,morantel,BRD-K71454870,,morantel,BRD-K71454870,,morantel,BRD-K71454870,,morantel
NVKAMPJSWMHVDK,BRD-K78092779,,2'-c-methylguanosine,BRD-K78092779,,2'-c-methylguanosine,BRD-K78092779,,2'-c-methylguanosine,BRD-K78092779,,2'-C-methylguanosine
NVKAWKQGWWIWPM,BRD-K22525962,,dihydrotestosterone,BRD-K22525962,,dihydrotestosterone,BRD-K22525962,,dihydrotestosterone,,,
NVRXTLZYXZNATH,BRD-K81801188,,PP-121,BRD-K81801188,,PP-121,BRD-K81801188,,PP-121,BRD-K81801188,,PP-121
NVUGEQAEQJTCIX,BRD-K73700643,,N-acetyltryptamine,BRD-K73700643,,N-acetyltryptamine,BRD-K73700643,,N-acetyltryptamine,BRD-K73700643,,N-acetyltryptamine
NVVGCQABIHSJSQ,BRD-K03399463,,BIO-1211,BRD-K03399463,,BIO-1211,BRD-K03399463,,BIO-1211,BRD-K03399463,,BIO-1211
NVZGJSVPOOILDI,BRD-A79052425,,SIB-1553A,BRD-A79052425,,SIB-1553A,BRD-A79052425,,SIB-1553A,BRD-K01826006,,SIB-1553A
NWBBZCLIZUATJF,BRD-K47190141,,arsenic-trioxide,BRD-K47190141,,arsenic-trioxide,BRD-K47190141,,arsenic-trioxide,,,
NWBJYWHLCVSVIJ,BRD-K62929068,,6-benzylaminopurine,BRD-K62929068,,6-benzylaminopurine,BRD-K62929068,,6-benzylaminopurine,BRD-K62929068,,6-benzylaminopurine
NWBWCXBPKTTZNQ,BRD-A05906449,,lappaconite,BRD-A05906449,,lappaconite,BRD-A05906449,,lappaconite,BRD-K00025602,,lappaconite
NWIBSHFKIJFRCO,BRD-A48237631,,mitomycin-c,BRD-A48237631,,mitomycin-c,BRD-A48237631,,mitomycin-c,BRD-K59670716,,mitomycin-C
NWIUTZDMDHAVTP,BRD-A02759312|BRD-K43883465,,betaxolol,BRD-A02759312|BRD-K43883465,,betaxolol,BRD-A02759312|BRD-K43883465,,betaxolol|levobetaxolol,BRD-K01825592|BRD-K43883465,,betaxolol|levobetaxolol
NWPRCRWQMGIBOT,BRD-K83064458,,etofylline,BRD-K83064458,,etofylline,BRD-K83064458,,etofylline,BRD-K83064458,,etofylline
NWVVVBRKAWDGAB,BRD-K45216060,,mequinol,BRD-K45216060,,mequinol,BRD-K45216060,,mequinol,BRD-K45216060,,mequinol
NWXCDQHBVVPPTL,BRD-K31633810,,DAU-5884,BRD-K31633810,,DAU-5884,BRD-K31633810,,DAU-5884,BRD-K31633810,,DAU-5884
NXFFJDQHYLNEJK,BRD-K48894757,,laropiprant,BRD-K48894757,,laropiprant,BRD-K48894757,,laropiprant,BRD-K48894757,,laropiprant
NXFQHRVNIOXGAQ,BRD-K76927775,,nitrofurantoin,BRD-K76927775,,nitrofurantoin,BRD-K76927775,,nitrofurantoin,BRD-K76927775,,nitrofurantoin
NXLUTEDAEFXMQR,BRD-K96615647,,AV-608,BRD-K96615647,,AV-608,BRD-K96615647,,AV-608,BRD-K96615647,,AV-608
NXNKJLOEGWSJGI,BRD-K20093108,,BMS-587101,BRD-K20093108,,BMS-587101,BRD-K20093108,,BMS-587101,BRD-K20093108,,BMS-587101
NXNQLECPAXXYTR,BRD-K41312087,,GW-441756,BRD-K41312087,,GW-441756,BRD-K41312087,,GW-441756,BRD-K41312087,,GW-441756
NXNRAECHCJZNRF,BRD-K64642496,,Ko143,BRD-K64642496,,Ko143,BRD-K64642496,,Ko143,BRD-K64642496,,Ko143
NXTVQNIVUKXOIL,BRD-K93546328,,chloramine-t,BRD-K93546328,,chloramine-t,BRD-K93546328,,chloramine-t,BRD-K93546328,,chloramine-T
NXWASIVXQMMPLM,BRD-K81694556,,VTP-27999,BRD-K81694556,,VTP-27999,BRD-K81694556,,VTP-27999,BRD-K81694556,,VTP-27999
NXZNYBUBXWWKCP,BRD-K28059174|BRD-K67628093,,INCB-003284|INCB-3284,BRD-K28059174|BRD-K67628093,,INCB-003284|INCB-3284,BRD-K28059174|BRD-K67628093,,INCB-003284|INCB-3284,BRD-K28059174|BRD-K67628093,,INCB-003284|INCB-3284
NYFMSQHOGRWGFD,BRD-A64228451,,terreic-acid-(-),BRD-A64228451,,terreic-acid-(-),BRD-A64228451,,terreic-acid-(-),BRD-K00024725,,terreic-acid-(-)
NYHBQMYGNKIUIF,BRD-K92976206,,guanosine,BRD-K92976206,,guanosine,BRD-K92976206,,guanosine,BRD-K67644125,,guanosine
NYIZXMGNIUSNKL,BRD-K47608922,,dipyrocetyl,BRD-K47608922,,dipyrocetyl,BRD-K47608922,,dipyrocetyl,BRD-K47608922,,dipyrocetyl
NYKCGQQJNVPOLU,BRD-K28192623,,spiradoline,BRD-K28192623,,spiradoline,BRD-K28192623,,spiradoline,BRD-K28192623,,spiradoline
NYMGNSNKLVNMIA,BRD-K88568253,,iproniazid,BRD-K88568253,,iproniazid,BRD-K88568253,,iproniazid,BRD-K88568253,,iproniazid
NYNZQNWKBKUAII,BRD-K36574127,,LOXO-101,BRD-K36574127,,LOXO-101,BRD-K36574127,,LOXO-101,BRD-K36574127,,larotrectinib
NYPIRLYMDJMKGW,BRD-K07798980,,PSI-6130,BRD-K07798980,,PSI-6130,BRD-K07798980,,PSI-6130,BRD-K07798980,,PSI-6130
NYYJKMXNVNFOFQ,BRD-K39359968,,L-755507,BRD-K39359968,,L-755507,BRD-K39359968,,L-755507,BRD-K39359968,,L-755507
NYZFUZCCDOSQBG,BRD-K82266792,,SDZ-220-040,BRD-K82266792,,SDZ-220-040,BRD-K82266792,,SDZ-220-040,BRD-K82266792,,SDZ-220-040
NZASCBIBXNPDMH,BRD-K36116267,,pyrithyldione,BRD-K36116267,,pyrithyldione,BRD-K36116267,,pyrithyldione,BRD-K36116267,,pyrithyldione
NZCRJKRKKOLAOJ,BRD-A62879835|BRD-K45512312,,rifaximin,BRD-K92838188,,rifaximin,BRD-K92838188,BRD-A62879835|BRD-K45512312,rifaximin,BRD-K53484294,,rifaximin
NZHGWWWHIYHZNX,BRD-K17849083,,tranilast,BRD-K17849083,,tranilast,BRD-K17849083,,tranilast,BRD-K17849083,,tranilast
NZJKEVWTYMOYOR,BRD-K61128465,,mdivi-1,BRD-K61128465,,mdivi-1,BRD-K61128465,,mdivi-1,BRD-K61128465,,mdivi-1
NZLBHDRPUJLHCE,BRD-K53236343,,aprindine,BRD-K53236343,,aprindine,BRD-K53236343,,aprindine,BRD-K53236343,,aprindine
NZLVRVYNQYGMAB,BRD-K88090157,,pimethixene,BRD-K88090157,,pimethixene,BRD-K88090157,,pimethixene,BRD-K88090157,,pimethixene
NZOONKHCNQFYCI,BRD-K39503511,,quiflapon,BRD-K39503511,,quiflapon,BRD-K39503511,,quiflapon,BRD-K39503511,,quiflapon
NZUPCNDJBJXXRF,BRD-A99833829,,bethanechol,BRD-A99833829,,bethanechol,BRD-A99833829,,bethanechol,BRD-K00003637,,bethanechol
NZWOPGCLSHLLPA,BRD-A18056626,,methacholine,BRD-A18056626,,methacholine,BRD-A18056626,,methacholine,BRD-A18056626,,methacholine
OAIJSZIZWZSQBC,BRD-K37083340,,lycopene,BRD-K37083340,,lycopene,BRD-K37083340,,lycopene,BRD-K37083340,,lycopene
OAKGNIRUXAZDQF,BRD-K67935717,,retaspimycin,BRD-K67935717,,retaspimycin,BRD-K67935717,,retaspimycin,BRD-K67935717,,retaspimycin
OAVGBZOFDPFGPJ,BRD-K16761703,,sotrastaurin,BRD-K16761703,,sotrastaurin,BRD-K16761703,,sotrastaurin,BRD-K16761703,,sotrastaurin
OAVLEYPTWABFLF,BRD-K25524093,,PSN-375963,BRD-K25524093,,PSN-375963,BRD-K25524093,,PSN-375963,BRD-K25524093,,PSN-375963
OAYRYNVEFFWSHK,BRD-K13238618,,carsalam,BRD-K13238618,,carsalam,BRD-K13238618,,carsalam,BRD-K13238618,,carsalam
OBATZBGFDSVCJD,BRD-K99919177,,deslanoside,BRD-K99919177,,deslanoside,BRD-K99919177,,deslanoside,BRD-K99919177,,deslanoside
OBBCSXFCDPPXOL,BRD-A16263897,,misonidazole,BRD-A16263897,,misonidazole,BRD-A16263897,,misonidazole,BRD-A16263897,,misonidazole
OBDOVFRMEYHSQB,BRD-K82677201,,almitrine,BRD-K82677201,,almitrine,BRD-K82677201,,almitrine,BRD-K82677201,,almitrine
OBJNFLYHUXWUPF,BRD-K66401437,,THZ1,BRD-K66401437,,THZ1,BRD-K66401437,,THZ1,BRD-K66401437,,THZ1
OBKXEAXTFZPCHS,BRD-K67102207,,phenylbutyrate,BRD-K67102207,,phenylbutyrate,BRD-K67102207,,phenylbutyrate,BRD-K67102207,,phenylbutyrate
OBMJQRLIQQTJLR,BRD-K68928792,,aldoxorubicin,BRD-K68928792,,aldoxorubicin,BRD-K68928792,,aldoxorubicin,BRD-K68928792,,aldoxorubicin
OBMLHUPNRURLOK,BRD-K02314383,,epitiostanol,BRD-K02314383,,epitiostanol,BRD-K02314383,,epitiostanol,BRD-K02314383,,epitiostanol
OBMNJSNZOWALQB,BRD-K24943235,,grazoprevir,BRD-K24943235,,grazoprevir,BRD-K24943235,,grazoprevir,BRD-K24943235,,grazoprevir
OBSYBRPAKCASQB,BRD-K19284129,,salvinorin-a,BRD-K19284129,,salvinorin-a,BRD-K19284129,,salvinorin-a,BRD-K19284129,,salvinorin-A
OBWASQILIWPZMG,BRD-K53765467,,empagliflozin,BRD-K53765467,,empagliflozin,BRD-K53765467,,empagliflozin,BRD-K53765467,,empagliflozin
OBWNXGOQPLDDPS,BRD-K09443272,,PHA-680632,BRD-K09443272,,PHA-680632,BRD-K09443272,,PHA-680632,BRD-K09443272,,PHA-680632
OBZHEBDUNPOCJG,BRD-A25216804|BRD-A98702003,,carbenoxolone,BRD-A25216804|BRD-A98702003,,carbenoxolone,BRD-A29700858,BRD-A25216804|BRD-A98702003,carbenoxolone,BRD-K12765235,,carbenoxolone
OBZJZDHRXBKKTJ,BRD-A64064900,,sangivamycin,BRD-A64064900,,sangivamycin,BRD-A64064900,,sangivamycin,BRD-K36169695,,sangivamycin
OCAPBUJLXMYKEJ,BRD-A94543220,,bifonazole,BRD-A94543220,,bifonazole,BRD-A94543220,,bifonazole,BRD-A94543220,,bifonazole
OCAXFDULERPAJM,BRD-A51713165,,3-CPMT,BRD-A51713165,,3-CPMT,BRD-A51713165,,3-CPMT,BRD-K00004217,,3-CPMT
OCCZJXAHSUCJSA,BRD-K40715924,,medorinone,BRD-K40715924,,medorinone,BRD-K40715924,,medorinone,BRD-K40715924,,medorinone
OCDGBSUVYYVKQZ,BRD-K26005076,,gramine,BRD-K26005076,,gramine,BRD-K26005076,,gramine,BRD-K26005076,,gramine
OCINXEZVIIVXFU,BRD-K64514229,,toltrazuril,BRD-K64514229,,toltrazuril,BRD-K64514229,,toltrazuril,BRD-K64514229,,toltrazuril
OCJYIGYOJCODJL,BRD-A50311610,,meclizine,BRD-A50311610,,meclizine,BRD-A50311610,,meclizine,BRD-K01826560,,meclizine
OCKHRKSTDPOHEN,BRD-K70511574,,HMN-214,BRD-K70511574,,HMN-214,BRD-K70511574,,HMN-214,BRD-K70511574,,HMN-214
OCSMOTCMPXTDND,BRD-K21396683,,marimastat,BRD-K21396683,,marimastat,BRD-K21396683,,marimastat,BRD-K21396683,,marimastat
OCUJLLGVOUDECM,BRD-A47494775,,dipivefrine,BRD-A47494775,,dipivefrine,BRD-A47494775,,dipivefrine,BRD-A47494775,,dipivefrine
ODADKLYLWWCHNB,BRD-K85776940,,delta-Tocotrienol,BRD-K85776940,,delta-Tocotrienol,BRD-K85776940,,delta-Tocotrienol,BRD-K85776940,,delta-tocotrienol
ODAIHABQVKJNIY,BRD-K00768353,,perindoprilat,BRD-K00768353,,perindoprilat,BRD-K00768353,,perindoprilat,BRD-K00768353,,perindoprilat
ODFJOVXVLFUVNQ,BRD-K99048103,,acetarsol,BRD-K99048103,,acetarsol,BRD-K99048103,,acetarsol,BRD-K99048103,,acetarsol
ODHCTXKNWHHXJC,BRD-K57313110,,pidolic-acid,BRD-K57313110,,pidolic-acid,BRD-K57313110,,pidolic-acid,BRD-K57313110,,pidolic-acid
ODJLBQGVINUMMR,BRD-A55312468,,k-strophanthidin,BRD-A55312468,,k-strophanthidin,BRD-A55312468,,k-strophanthidin,BRD-K84595254,,K-strophanthidin
ODKNJVUHOIMIIZ,BRD-A03757454|BRD-K73088654,,floxuridine,BRD-A03757454|BRD-K73088654,,floxuridine,BRD-A03757454|BRD-K47832606,BRD-K73088654,floxuridine,BRD-K47832606,BRD-K73088654,floxuridine
ODKSFYDXXFIFQN,BRD-K76811153,,L-Arginine,BRD-K76811153,,L-Arginine,BRD-K76811153,,L-Arginine,BRD-K06033833,,L-arginine
ODLDHXPJRGNTPC,BRD-K22097830,,OCO-1112,BRD-K22097830,,OCO-1112,BRD-K22097830,,OCO-1112,BRD-K22097830,,OCO-1112
ODLGMSQBFONGNG,BRD-K28442028|BRD-K57284066,,R-1479|Ro-9187,BRD-K28442028|BRD-K57284066,,R-1479|Ro-9187,BRD-K28442028|BRD-K57284066,,R-1479|Ro-9187,BRD-K28442028|BRD-K57284066,,R-1479|Ro-9187
ODLHGICHYURWBS,BRD-A01412266,,hydroxypropyl-beta-cyclodextrin,BRD-A01412266,,hydroxypropyl-beta-cyclodextrin,BRD-A01412266,,hydroxypropyl-beta-cyclodextrin,BRD-A01412266,,hydroxypropyl-beta-cyclodextrin
ODNICNWASXKNNQ,BRD-K87510569,,RS-504393,BRD-K87510569,,RS-504393,BRD-K87510569,,RS-504393,BRD-K87510569,,RS-504393
ODQWQRRAPPTVAG,BRD-K37694030,,doxepin,BRD-K37694030,,doxepin,BRD-K37694030,,doxepin,BRD-K37694030,,doxepin
ODTKFNUPVBULRJ,BRD-K43905307,,"L-798,106",BRD-K43905307,,"L-798,106",BRD-K43905307,,"L-798,106",BRD-K43905307,,L-798106
ODUOJXZPIYUATO,BRD-A08187463,,racecadotril,BRD-A08187463,,racecadotril,BRD-A08187463,,racecadotril,BRD-A08187463,,racecadotril
ODXQFEWQSHNQNI,BRD-K30882994,,tiplaxtinin,BRD-K30882994,,tiplaxtinin,BRD-K30882994,,tiplaxtinin,BRD-K30882994,,tiplaxtinin
ODYAQBDIXCVKAE,BRD-K54095730,,CMPD-1,BRD-K54095730,,CMPD-1,BRD-K54095730,,CMPD-1,BRD-K54095730,,CMPD-1
ODZBBRURCPAEIQ,BRD-A63675168,,brivudine,BRD-A63675168,,brivudine,BRD-A63675168,,brivudine,BRD-A63675168,,brivudine
OEBPANQZQGQPHF,BRD-K32311154,,nifekalant,BRD-K32311154,,nifekalant,BRD-K32311154,,nifekalant,BRD-K32311154,,nifekalant
OEBRKCOSUFCWJD,BRD-K23779958,,dichlorvos,BRD-K23779958,,dichlorvos,BRD-K23779958,,dichlorvos,BRD-K23779958,,dichlorvos
OEGDFSLNGABBKJ,BRD-K84971356,,etafenone,BRD-K84971356,,etafenone,BRD-K84971356,,etafenone,BRD-K84971356,,etafenone
OEHAYUOVELTAPG,BRD-A21474126,,methoxyphenamine,BRD-A21474126,,methoxyphenamine,BRD-A21474126,,methoxyphenamine,BRD-A21474126,,methoxyphenamine
OEHFRZLKGRKFAS,BRD-K17219082,,droxicam,BRD-K17219082,,droxicam,BRD-K17219082,,droxicam,BRD-K17219082,,droxicam
OEKWJQXRCDYSHL,BRD-K44974079,,ticagrelor,BRD-K44974079,,ticagrelor,BRD-K44974079,,ticagrelor,BRD-K25838957,,ticagrelor
OELFLUMRDSZNSF,BRD-K44353683|BRD-K84658672,,nateglinide,BRD-K44353683|BRD-K84658672,,nateglinide,BRD-K44353683|BRD-K84658672,,nateglinide,BRD-K44353683,,nateglinide
OENHQHLEOONYIE,BRD-K34538779|BRD-K74225533,,beta-carotene,BRD-K34538779|BRD-K74225533,,beta-carotene,BRD-K74225533,BRD-K34538779,beta-carotene,BRD-K74225533,BRD-K34538779,beta-carotene
OETLNMOJNONWOY,BRD-K38018935,,OTS514,BRD-K38018935,,OTS514,BRD-K38018935,,OTS514,BRD-K38018935,,OTS514
OEXHQOGQTVQTAT,BRD-A05352148|BRD-A65721754|BRD-A96060515,,ipratropium,BRD-A05352148|BRD-A65721754|BRD-A96060515,,ipratropium,BRD-A47449001,BRD-A05352148|BRD-A65721754|BRD-A96060515,ipratropium,BRD-K01826778,,ipratropium
OEXMNSOPAKOPEF,BRD-K44777625,,FH1,BRD-K44777625,,FH1,BRD-K44777625,,FH1,BRD-K44777625,,FH1
OEYIOHPDSNJKLS,BRD-K77300776,,choline,BRD-K77300776,,choline,BRD-K77300776,BRD-M07056525,choline,BRD-K77300776,BRD-M07056525,choline
OFAIGZWCDGNZGT,BRD-K59895502,,caramiphen,BRD-K59895502,,caramiphen,BRD-K59895502,,caramiphen,BRD-K59895502,,caramiphen
OFBIFZUFASYYRE,BRD-K98769987,,flumazenil,BRD-K98769987,,flumazenil,BRD-K98769987,,flumazenil,BRD-K98769987,,flumazenil
OFCLARYYBGKCHN,BRD-K41869275,,2-phenylmelatonin,BRD-K41869275,,2-phenylmelatonin,BRD-K41869275,,2-phenylmelatonin,BRD-K41869275,,2-phenylmelatonin
OFCNXPDARWKPPY,BRD-K86307448,,allopurinol,BRD-K86307448,,allopurinol,BRD-K86307448,,allopurinol,BRD-K86307448,,allopurinol
OFCTYBMKKTVKCR,BRD-K13826399,,PD-156707,BRD-K13826399,,PD-156707,BRD-K13826399,,PD-156707,BRD-K13826399,,PD-156707
OFDNQWIFNXBECV,BRD-K78567475,,dolastatin-10,BRD-K78567475,,dolastatin-10,BRD-K78567475,,dolastatin-10,BRD-K78567475,,dolastatin-10
OFEZSBMBBKLLBJ,BRD-K65428967,,cordycepin,BRD-K65428967,,cordycepin,BRD-K65428967,,cordycepin,BRD-K65428967,,cordycepin
OFHCOWSQAMBJIW,BRD-K84280765|BRD-K92644009,,alfacalcidol,BRD-K49522529|BRD-K84280765|BRD-K92644009,,alfacalcidol,BRD-K49522529,BRD-K84280765|BRD-K92644009,alfacalcidol,BRD-K49522529,BRD-K84280765|BRD-K92644009,alfacalcidol
OFPXSFXSNFPTHF,BRD-K25394294,,oxaprozin,BRD-K25394294,,oxaprozin,BRD-K25394294,,oxaprozin,BRD-K25394294,,oxaprozin
OFUDZKKOKPGXOH,BRD-A77218119,,SYM-2206,BRD-A77218119,,SYM-2206,BRD-A77218119,,SYM-2206,BRD-A77218119,,SYM-2206
OFZCIYFFPZCNJE,BRD-A99939097,,carisoprodol,BRD-A99939097,,carisoprodol,BRD-A99939097,,carisoprodol,,,
OFZJKCQENFPZBH,BRD-K68544925,,avatrombopag,BRD-K68544925,,avatrombopag,BRD-K68544925,,avatrombopag,BRD-K68544925,,avatrombopag
OGAKLTJNUQRZJU,BRD-K01663662,,diphenidol,BRD-K01663662,,diphenidol,BRD-K01663662,,diphenidol,BRD-K01663662,,diphenidol
OGCQBCHLFMBCCE,BRD-K10575656,,MRS3777,BRD-K10575656,BRD-M86143595,MRS3777,BRD-K10575656,BRD-M86143595,MRS3777,BRD-K10575656,BRD-M86143595,MRS-3777
OGHNVEJMJSYVRP,BRD-A10977446,,carvedilol,BRD-A10977446,,carvedilol,BRD-A10977446,,carvedilol,BRD-K01826535,,carvedilol
OGJGQVFWEPNYSB,BRD-K05528470,,L-745870,BRD-K05528470,,L-745870,BRD-K05528470,,L-745870,BRD-K05528470,,L-745870
OGJPXUAPXNRGGI,BRD-K11196887,,norfloxacin,BRD-K11196887,,norfloxacin,BRD-K11196887,,norfloxacin,BRD-K11196887,,norfloxacin
OGMADIBCHLQMIP,BRD-M77687198,,cysteamine,BRD-M77687198,,cysteamine,BRD-M77687198,,cysteamine,,,
OGNYUTNQZVRGMN,BRD-K72703948,,ZM-447439,BRD-K72703948,,ZM-447439,BRD-K72703948,,ZM-447439,BRD-K72703948,,ZM-447439
OGQICQVSFDPSEI,BRD-K76841105,,tazarotene,BRD-K76841105,,tazarotene,BRD-K76841105,,tazarotene,BRD-K76841105,,tazarotene
OGSBUKJUDHAQEA,BRD-A74914197,,pralatrexate,BRD-A74914197,,pralatrexate,BRD-A74914197,,pralatrexate,BRD-A74914197,,pralatrexate
OGSPWJRAVKPPFI,BRD-K75527158,,alendronate,BRD-K75527158,,alendronate,BRD-K75527158,,alendronate,BRD-K75527158,,alendronate
OGWKCGZFUXNPDA,BRD-A60414806|BRD-A60578817|BRD-K49229349|BRD-K98953900,,vincristine,BRD-A60414806|BRD-A60578817|BRD-K49229349|BRD-K98953900,,vincristine,BRD-K12251893,BRD-A60414806|BRD-A60578817|BRD-K49229349|BRD-K98953900,vincristine,BRD-K12251893,BRD-A60414806|BRD-A60578817|BRD-K49229349|BRD-K98953900,vincristine
OGXMGJGFLBSEJW,BRD-K80725821,,RS-16566,BRD-K80725821,,RS-16566,BRD-K80725821,,RS-16566,BRD-K00004221,,RS-16566
OHCFGBLQZMYRTR,BRD-K21771665,,merbromin,BRD-K21771665,,merbromin,BRD-K21771665,,merbromin,BRD-K21771665,,merbromin
OHCQJHSOBUTRHG,BRD-A55416093|BRD-K09602097|BRD-K62498766,,colforsin|forskolin,BRD-A55416093|BRD-K09602097|BRD-K77830450,,colforsin|forskolin,BRD-A55416093|BRD-K09602097,BRD-K77830450,colforsin|forskolin,BRD-A55416093|BRD-K09602097,BRD-K77830450,colforsin|forskolin
OHKOGUYZJXTSFX,BRD-A55051145|BRD-A91757199,,ticarcillin,BRD-A55051145|BRD-A91757199,,ticarcillin,BRD-A55051145|BRD-K29229654,BRD-A91757199,ticarcillin,BRD-K29229654,BRD-A91757199,ticarcillin
OHLHOLGYGRKZMU,BRD-K81844417,,N-benzylacrylamide,,,,,,,,,
OHMJKMNGYYWCHB,BRD-K56483981,,chicago-sky-blue-6b,BRD-K56483981,,chicago-sky-blue-6b,BRD-K56483981,,chicago-sky-blue-6b,,,
OHPVYKXTRACOSQ,BRD-A63431791,,sulbactam-pivoxil,BRD-A63431791,,sulbactam-pivoxil,BRD-A63431791,,sulbactam-pivoxil,BRD-A63431791,,sulbactam-pivoxil
OHRURASPPZQGQM,BRD-K61397605,,romidepsin,BRD-K61397605,,romidepsin,BRD-K61397605,,romidepsin,BRD-K61397605,,romidepsin
OHUHVTCQTUDPIJ,BRD-A36013532,,AZD6738,BRD-A36013532,,AZD6738,BRD-A36013532,,AZD6738,BRD-A36013532,,AZD6738
OHXPGWPVLFPUSM,BRD-A11551002|BRD-A64125466,,dehydrocholate|dehydrocholate-acid,BRD-A11551002|BRD-A64125466,,dehydrocholate|dehydrocholate-acid,BRD-A11551002|BRD-A64125466,,dehydrocholate|dehydrocholate-acid,BRD-A64125466|BRD-K90976994,,dehydrocholate|dehydrocholate-acid
OIGHTPDWPMLMGT,BRD-K55430733,,WAY-629,BRD-K55430733,,WAY-629,BRD-K55430733,,WAY-629,BRD-K55430733,,WAY-629
OIGNJSKKLXVSLS,BRD-A27887842|BRD-K00645576,,prednisolone,BRD-A27887842,,prednisolone,BRD-A27887842,BRD-K00645576,prednisolone,BRD-A27887842,BRD-K00645576,prednisolone
