!Source	"The Drug Repurposing Hub, Broad Institute"		
!URL	http://www.broadinstitute.org/repurposing		
!File_date	3/27/17		
!Table_name	drug information		
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.		
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER’S SOLE RISK.		
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.		
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 23 (2017)."		
!Contact	repurposing@broadinstitute.org		
pert_iname	clinical_phase	moa	target
hypoxanthine	Preclinical	PARP inhibitor	PNP
I-BET-762	Phase 2	bromodomain inhibitor	BRD2|BRD3|BRD4
I-BET151	Preclinical	bromodomain inhibitor	BRD2|BRD3|BRD4
I-BRD9	Preclinical	bromodomain inhibitor	BRD9
I-BZA	Phase 2		
I-BZA2	Phase 3		
IB-MECA	Phase 3	adenosine receptor agonist	ADORA1|ADORA2A|ADORA2B|ADORA3
ibandronate	Launched	bone resorption inhibitor	FDPS
IBC-293	Preclinical	hydroxycarboxylic acid receptor agonist	HCAR3
ibotenic-acid	Phase 1	glutamate receptor agonist	GRIN1
ibrolipim	Phase 2	lipoprotein lipase activator	LPL
ibrutinib	Launched	Bruton's tyrosine kinase (BTK) inhibitor	BLK|BMX|BTK
ibudilast	Launched	leukotriene receptor antagonist|phosphodiesterase inhibitor	IL1B|IL6|PDE3A|PDE4A|PDE4B|PDE4C|PDE4D|PDE5A
ibuprofen	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2
ibuprofen-(s)	Preclinical	cyclooxygenase inhibitor	ASIC1|BCL2|CFTR|FABP2|PLAT|PPARG|PTGS1|PTGS2|SLC5A8|THBD
ibuprofen-lysine	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2
ibuprofen-piconol	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2
ibutamoren	Phase 2	growth hormone secretagogue receptor agonist	GHR|GHSR
ibutilide	Launched	potassium channel blocker	CACNA1C|CACNA2D1|CACNB1|CACNG1|KCNH2|KCNH6|KCNH7|KCNJ11|KCNK1|KCNK6
icariin	Phase 3	phosphodiesterase inhibitor	PDE5A
icaritin	Phase 2	PPAR receptor antagonist	PDE5A
icatibant-acetate	Launched	bradykinin receptor antagonist	ANPEP|BDKRB2
ICG-001	Preclinical	beta-catenin inhibitor	CTNNB1
ICI-162846	Phase 1	histamine receptor antagonist	HRH2
ICI-192605	Phase 2	thromboxane receptor antagonist	TBXA2R
ICI-199441	Preclinical	opioid receptor agonist	CYP2D6|OPRD1|OPRK1|OPRM1|UTS2R
ICI-63197	Preclinical	phosphodiesterase inhibitor	
ICI-89406	Phase 1	adrenergic receptor antagonist	ADRB1|ADRB2
icilin	Phase 1	TRPV agonist	TRPA1|TRPM8
icomucret	Phase 3	mucin production enhancer	LTB4R2
icosapent	Launched	platelet aggregation inhibitor	ACSL3|ACSL4|FADS1|FFAR1|PPARD|PPARG|PTGS1|PTGS2|SLC8A1|TRPV1
icotinib	Launched	EGFR inhibitor	EGFR
IC261	Preclinical	casein kinase inhibitor	CSNK1A1|CSNK1D|CSNK1E|CSNK1G2
ID-1101	Phase 1	insulin sensitizer	INS
ID-8	Preclinical		
idalopirdine	Phase 3	serotonin receptor antagonist	HTR6
idarubicin	Launched	topoisomerase inhibitor	TOP2A
idasanutlin	Phase 3	MDM inhibitor	MDM2|TP53
idazoxan	Phase 3	adrenergic receptor antagonist	ADRA2A
idebenone	Launched	calcium channel modulator	
idelalisib	Launched	PI3K inhibitor	PIK3CA|PIK3CB|PIK3CD|PIK3CG
idoxuridin	Launched	DNA synthesis inhibitor	
idoxuridine	Launched	DNA directed DNA polymerase inhibitor	
IDRA-21	Preclinical	glutamate receptor positive allosteric modulator	GRIA1|GRIA2|GRIA3|GRIA4
idramantone	Preclinical		
idronoxil	Phase 3	XIAP inhibitor	ENOX2|SPHK1
IEM1460	Preclinical	glutamate receptor antagonist	GRIA2
IEM1754	Preclinical	glutamate receptor antagonist	GRIA1
ifenprodil	Launched	adrenergic receptor antagonist|glutamate receptor antagonist	GRIN1|GRIN2B
ifosfamide	Launched	DNA alkylating agent	CYP2A6|CYP2B6|CYP2C18|CYP2C19|CYP2C8|CYP2C9|CYP3A4|CYP3A5|CYP3A7|PTGS1
igmesine	Phase 2	sigma receptor agonist	SIGMAR1
iguratimod	Launched	cyclooxygenase inhibitor|NFkB pathway inhibitor	PTGS2
IKK-16	Preclinical	IKK inhibitor	IKBKB
IKK-2-inhibitor	Preclinical	IKK inhibitor|SYK inhibitor	IKBKB
IKK-2-inhibitor-V	Phase 1	IKK inhibitor|NFkB pathway inhibitor	IKBKB
ilepcimide	Phase 3	anticonvulsant	
ilomastat	Phase 3	matrix metalloprotease inhibitor	ACAN|ADAM28|MMP1|MMP12|MMP13|MMP14|MMP2|MMP3|MMP8|MMP9
iloperidone	Launched	dopamine receptor antagonist|serotonin receptor antagonist	ADRA1A|ADRA2C|DRD1|DRD2|DRD3|DRD4|HRH1|HTR1A|HTR2A|HTR6|HTR7
iloprost	Launched	platelet aggregation inhibitor|prostanoid receptor agonist	PDE4A|PDE4B|PDE4C|PDE4D|PLAT|PTGDR|PTGER1|PTGER2|PTGER3|PTGER4|PTGFR|PTGIR|TBXA2R
imatinib	Launched	Bcr-Abl kinase inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor	ABL1|CSF1R|DDR1|KIT|NTRK1|PDGFRA|PDGFRB|RET
imeglimin	Phase 2	gluconeogenesis inhibitor	
imetit	Preclinical	histamine receptor agonist	HRH3|HRH4
imexon	Phase 2	apoptosis stimulant|ribonucleotide reductase inhibitor	RRM1|RRM2
imidacloprid	Launched	acetylcholine receptor antagonist	CHRFAM7A
imidafenacin	Launched	acetylcholine receptor antagonist	CHRM1|CHRM3
imidapril	Launched	angiotensin converting enzyme inhibitor	ACE
imidurea	Preclinical	other antibiotic	
imiloxan	Phase 1	adrenergic receptor antagonist	ADRA2A|ADRA2B
imipenem	Launched	bacterial cell wall synthesis inhibitor	
imipramine	Launched	norepinephrine reputake inhibitor|serotonin reuptake inhibitor	ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD5|HRH1|HTR1A|HTR2A|HTR2C|HTR6|HTR7|KCND2|KCND3|KCNH1|KCNH2|SLC6A2|SLC6A3|SLC6A4
imiquimod	Launched	interferon inducer|toll-like receptor agonist	TLR7|TLR8
immepip	Preclinical	histamine receptor agonist	HRH3|HRH4
immethridine	Phase 1	histamine receptor agonist	HRH3
impentamine	Preclinical	histamine receptor antagonist	HRH3
IMREG-1	Phase 3		
INC-280	Phase 2	c-Met inhibitor	MET
INCA-6	Preclinical	calcineurin inhibitor	NFATC1
INCB-003284	Phase 2	CC chemokine receptor antagonist	
INCB-024360	Phase 2	"indoleamine 2,3-dioxygenase inhibitor"	IDO1
INCB-3284	Phase 2	CC chemokine receptor antagonist	CCR2
indacaterol	Launched	adrenergic receptor agonist	ADRB1|ADRB2
indalpine	Withdrawn	selective serotonin reuptake inhibitor (SSRI)	SLC6A4
indapamide	Launched	thiazide diuretic	KCNE1|KCNQ1|SLC12A3
indatraline	Preclinical	norepinephrine transporter inhibitor	MAOA|MAOB
indeloxazine	Withdrawn	norepinephrine reuptake inhibitor|serotonin reuptake inhibitor	
indibulin	Phase 1/Phase 2	tubulin polymerization inhibitor	
indinavir	Launched	HIV protease inhibitor	CYP3A4|CYP3A5|CYP3A7
indiplon	Phase 3	benzodiazepine receptor agonist	GABRA1
indirubin	Phase 2/Phase 3	CDK inhibitor|glycogen synthase kinase inhibitor	CDK1|CDK5|GSK3A
indirubin-3-monoxime	Preclinical	CDK inhibitor|glycogen synthase kinase inhibitor	CDK1|CDK2|CDK5|CDK5R1|GSK3B
indisulam	Phase 2	CDK inhibitor	CA1|CA12|CA14|CA2|CA6|CA7|CA9
indium(iii)-isopropoxide	Preclinical		
indobufen	Launched	cyclooxygenase inhibitor|platelet aggregation inhibitor	PTGS1|PTGS2
indocyanine-green	Launched	contrast agent	SLCO1B1
indole-3-carbinol	Phase 2/Phase 3	"aryl hydrocarbon receptor agonist|indoleamine 2,3-dioxygenase inhibitor"	AHR
indole-3-pyrubate	Phase 2	melatonin receptor agonist	
indomethacin	Launched	cyclooxygenase inhibitor	GLO1|PLA2G2A|PPARA|PPARG|PTGDR2|PTGR2|PTGS1|PTGS2|SLC46A1
indoprofen	Withdrawn	cyclooxygenase inhibitor|prostanoid receptor antagonist	CXCR1|CXCR2|PTGS1|PTGS2
indoramin	Launched	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2B|ADRA2C
indoximod	Phase 2	"indoleamine 2,3-dioxygenase inhibitor"	IDO1
ingenol-mebutate	Launched	PKC activator	PRKCA|PRKCB|PRKCD|PRKCE|PRKCG
INH1	Preclinical	Hec1 inhibitor	NDC80
inimur	Launched	other antifungal	
iniparib	Phase 3	PARP inhibitor	PARP1
inosine	Launched	neurotrophic agent	PARP1|PNP
inositol	Launched	insulin sensitizer	CDIPT|GBA
inositol-hexanicotinate	Launched		
INS316	Phase 2	purinergic receptor antagonist	
INT-747	Phase 3	FXR agonist	
INT-767	Phase 1	FXR agonist	GPBAR1
integrin-antagonist-1	Phase 1	integrin antagonist	ITGAV|ITGB6
iobenguane	Launched	antineoplastic agent	
iocetamic-acid	Launched	radiopaque medium	
iodipamide	Launched	radiopaque medium	ALB
iodixanol	Launched	radiopaque medium	
iodoantipyrine	Preclinical		
iododexetimide	Phase 2	acetylcholine receptor antagonist	
iodophenpropit	Preclinical	histamine receptor antagonist	HRH3|HRH4
iodoquinol	Launched	antiseptic	
iohexol	Launched	radiopaque medium	
iopamidol	Launched	radiopaque medium	
iopanic-acid	Preclinical	thyroid hormone inhibitor	
iopodic-acid	Launched		
iopromide	Launched	radiopaque medium	
iothalamic-acid-d3	Preclinical	radiopaque medium	
ioversol	Launched	radiopaque medium	
IOWH032	Phase 2	CFTR channel antagonist	CFTR
ioxaglic-acid	Launched	radiopaque medium	
ioxilan	Launched	radiopaque medium	
IOX1	Preclinical	histone demethylase inhibitor	EGLN1|KDM3A|KDM4C|KDM6B
IOX2	Preclinical	hypoxia inducible factor inhibitor	EGLN1|KDM2A|KDM5C
IPA-3	Preclinical	p21 activated kinase inhibitor	PAK1
IPAG	Preclinical		
IPI-145	Phase 3	PI3K inhibitor	PIK3CA|PIK3CB|PIK3CD|PIK3CG
ipidacrine	Phase 3	acetylcholinesterase inhibitor	ACHE
ipragliflozin-l-proline	Launched	sodium/glucose cotransporter inhibitor	SLC5A2
ipratropium	Launched	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5
ipriflavone	Launched	bone resorption inhibitor	
iproniazid	Withdrawn	monoamine oxidase inhibitor	MAOA|MAOB
ipsapirone	Phase 3	serotonin receptor agonist	HTR1A
irbesartan	Launched	angiotensin receptor antagonist	AGTR1|JUN|SLC10A1
irinotecan	Launched	topoisomerase inhibitor	TOP1|TOP1MT
IRL-2500	Preclinical	endothelin receptor antagonist	EDNRB
irosustat	Phase 2	steroid sulfatase inhibitor	CA2|STS
irsogladine	Launched	phosphodiesterase inhibitor	PDE4A
isamoltane	Phase 1	adrenergic receptor antagonist	HTR1A|HTR1B
isavuconazole	Phase 3	cytochrome P450 inhibitor	CYP3A4
isaxonine	Withdrawn	nerve growth factor agonist	
isbufylline	Phase 2	phosphodiesterase inhibitor	
isepamicin	Launched	protein synthesis inhibitor	
isobutamben	Preclinical	local anesthetic	
isobutyramide	Phase 2	gene expression stimulant	HBE1|HBG1
isocarboxazid	Launched	monoamine oxidase inhibitor	MAOA|MAOB
isoconazole	Launched	fungal lanosterol demethylase inhibitor	CYP17A1
isodibut	Phase 2	aldehyde reductase inhibitor	
isoetharine	Launched	adrenergic receptor agonist	ADRB1|ADRB2
isofloxythepin	Phase 2	dopamine receptor antagonist	
isoflupredone-acetate	Preclinical		NR3C1
isoflurane	Launched	inhaled anaesthetic	ATP2C1|ATP5D|CALM1|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|GRIA1|KCNA1|KCNK10|KCNK18|KCNK2|KCNK3|KCNK9
isoflurophate	Launched	cholinesterase inhibitor	ACHE|BCHE
isoguvacine	Preclinical	benzodiazepine receptor agonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRR1|GABRR2|GABRR3
isoleucine	Launched		ACADSB|BCAT1|BCAT2|IARS|IARS2
isoliquiritigenin	Preclinical	guanylate cyclase activator	GABBR1
isometheptene-mucate	Launched		ADRA1A|SLC18A2
isoniazid	Launched	FABI inhibitor	CYP1A2|CYP2C19|CYP2C8|CYP2E1|CYP3A4
isopentyl-4-methoxycinnamate	Launched		
isoprenaline	Launched	adrenergic receptor agonist	ADRB1|ADRB2|ADRB3|MAPK1|PIK3R1|PIK3R2|PIK3R3
isopropamide-iodide	Launched	acetylcholine receptor antagonist	CHRM3|CHRM4
isopropyl-myristate	Launched		
isopropyl-palmitate	Launched	cosmetic moisturizer	
isosorbide	Launched	nitric oxide stimulant	
isosorbide-dinitrate	Launched	nitric oxide stimulant	GUCY1A2|GUCY1A3|GUCY1B2|GUCY1B3|NPR1
isosorbide-mononitrate	Launched	nitric oxide stimulant	GUCY1A2|GUCY1A3|GUCY1B2|GUCY1B3
isosteviol	Phase 2		
isotiquimide	Phase 1		
isotretinoin	Launched	retinoid receptor agonist	RARA|RARB|RARG
isovaleramide	Phase 2	alcohol dehydrogenase inhibitor	
isoxepac	Phase 2	anti-inflammatory agent	
isoxicam	Withdrawn	cyclooxygenase inhibitor	PTGS1|PTGS2
isoxsuprine	Launched	adrenergic receptor agonist	ADRB2
ispinesib	Phase 2	kinesin inhibitor	KIF11
isradipine	Launched	calcium channel blocker	CACNA1C|CACNA1D|CACNA1F|CACNA1H|CACNA1S|CACNA2D1|CACNA2D2|CACNB2
ISRIB	Preclinical	eukaryotic translation initiation factor inhibitor|PERK inhibitor	EIF2A|EIF2AK3
istaroxime	Phase 2	ATPase inhibitor	ATP1A1
istradefylline	Launched	adenosine receptor antagonist	ADORA1|ADORA2A|ADORA2B|ADORA3
itacitinib	Phase 2	JAK inhibitor	JAK1
ITI214	Phase 1	phosphodiesterase inhibitor	PDE1A
itopride	Launched	dopamine receptor antagonist	CHRM3|DRD2
itraconazole	Launched	cytochrome P450 inhibitor	CYP51A1
ITX3	Preclinical	GEF inhibitor	TRIO
IU1	Preclinical	ubiquitin C-terminal hydrolase inhibitor	USP14
ivabradine	Launched	HCN channel antagonist|potassium channel blocker|sodium channel blocker	HCN1|HCN3|HCN4
ivacaftor	Launched	CFTR channel potentiator	CFTR
ivermectin	Launched	benzodiazepine receptor agonist	CHRNA7|GABRB3|GLRA3|P2RX7
ivosidenib	Phase 1/Phase 2	isocitrate dehydrogenase inhibitor	IDH1
IWP-L6	Preclinical	porcupine inhibitor	PORCN
ixabepilone	Launched	microtubule stabilizing agent	TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8
ixazomib	Launched	proteasome inhibitor	
ixazomib-citrate	Launched	proteasome inhibitor	
JAK3-inhibitor-V	Preclinical	JAK inhibitor	JAK3
JDTic	Phase 1	opioid receptor antagonist	OPRK1
JIB04	Preclinical	histone lysine demethylase inhibitor	KDM4E
JK-184	Preclinical	hedgehog pathway inhibitor	
JLK-6	Preclinical	gamma secretase inhibitor	PSEN1
JNJ-10191584	Preclinical	histamine receptor antagonist	HRH4
JNJ-16259685	Preclinical	glutamate receptor antagonist	GRM1
JNJ-1661010	Preclinical	FAAH inhibitor	FAAH
JNJ-17203212	Preclinical	TRPV antagonist	TRPV1
JNJ-26481585	Phase 2	HDAC inhibitor	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9|MDM2
JNJ-26990990	Phase 2	anticonvulsant	
JNJ-37822681	Phase 2	dopamine receptor antagonist	DRD2
JNJ-38877605	Phase 1	tyrosine kinase inhibitor	MET
JNJ-40411813	Phase 2	glutamate receptor positive allosteric modulator	GRM2
JNJ-42041935	Preclinical	hypoxia inducible factor prolyl hydroxylase inhibitor	PDK2
JNJ-42165279	Phase 2	FAAH inhibitor	FAAH
JNJ-63533054	Preclinical	G protein-coupled receptor agonist	GPR139
JNJ-7706621	Preclinical	CDK inhibitor	AURKA|AURKB|CDK1|CDK2
JNJ-7777120	Preclinical	histamine receptor antagonist	HRH4
josamycin	Launched	bacterial 50S ribosomal subunit inhibitor	
JQ1-(+)	Preclinical	bromodomain inhibitor	BRD4|BRDT
JTC-801	Phase 2	opioid receptor antagonist	OPRL1
JTE-013	Preclinical	lysophospholipid receptor antagonist	P2RY10|S1PR2
JTE-607	Phase 2	cytokine production inhibitor	IL10|IL1B|IL6|TNF
JTE-907	Phase 1	cannabinoid receptor inverse agonist	CNR2
JW-74	Preclinical	WNT signaling inhibitor|tankyrase inhibitor	TNKS|TNKS2
JX-401	Preclinical	p38 MAPK inhibitor	MAPK14
JZL-184	Preclinical	monoacylglucerol lipase inhibitor	MGLL
K-MAP	Phase 2		
K-Ras(G12C)-inhibitor-12	Preclinical	K-ras inhibitor	KRAS
K-Ras(G12C)-inhibitor-6	Preclinical	K-ras inhibitor	
k-strophanthidin	Phase 2	ATPase inhibitor	ATP1A1
K-247	Phase 1		
K-858	Preclinical	kinesin-like spindle protein inhibitor	KIF11
kaempferol	Preclinical	bone resorption inhibitor|estrogen-related receptor inverse agonist	AKR1B1|ALOX15B|ALOX5|AR|CYP1B1|GLO1|HSD17B1|UGT3A1
kainic-acid	Preclinical	kainate receptor agonist	GRIA1|GRIK1|GRIK2|GRIK3|GRIK4|GRIK5
kakonein	Phase 2	GABA receptor antagonist|serotonin receptor antagonist	
kanamycin	Launched	bacterial 30S ribosomal subunit inhibitor	
KB-R7943	Preclinical	sodium/calcium exchange inhibitor	SLC8A1|TRPC3|TRPC5|TRPC6
KBG	Phase 2	neprilysin inhibitor	MME
KD-023	Phase 2	ACAT inhibitor	ACACA|ACACB
KD025	Phase 2	rho associated kinase inhibitor	ROCK2
kenpaullone	Preclinical	CDK inhibitor|glycogen synthase kinase inhibitor	CCNB1|CDK1|CDK5|GSK3B
ketanserin	Launched	serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA1D|DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A|HTR7|SLC18A1|SLC18A2
ketoconazole	Launched	sterol demethylase inhibitor	AR|CYP19A1|CYP21A2|KCNA10
ketoprofen	Launched	cyclooxygenase inhibitor	CXCR1|PTGS1|PTGS2|SLC5A8
ketorolac	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2
ketotifen	Launched	histamine receptor agonist|leukotriene receptor antagonist|phosphodiesterase inhibitor	HRH1|PDE4A|PDE4B|PDE4C|PDE4D|PDE7A|PDE7B|PDE8A|PDE8B|PGD
kevetrin	Phase 1	p53 activator	
KF-38789	Preclinical	P selectin inhibitor	SELP
KH-CB19	Preclinical	CDC inhibitor	CLK1|CLK3|DYRK1A
khellin	Phase 2	vasodilator	
KHK-IN-1	Preclinical	hexokinase inhibitor	KHK
KI-16425	Preclinical	lysophosphatidic acid receptor antagonist	LPAR1|LPAR3
KI-8751	Preclinical	KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	KDR
kifunensine	Phase 1	mannosidase inhibitor	MAN1B1|MAN2A1
kinetin	Launched	cell division inducer	
ki16198	Preclinical	lipoprotein antagonist	LPA
KML29	Preclinical	monoacylglucerol lipase inhibitor	MGLL
KN-62	Preclinical	calcium/calmodulin dependent protein kinase inhibitor|purinergic receptor antagonist	AKT1|CAMK2A|CHEK1|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|P2RX7|PRKCA|ROCK1|RPS6KB1|SGK1
KN-93	Preclinical	calcium/calmodulin dependent protein kinase inhibitor	CAMK2A
Ko143	Preclinical	BCRP inhibitor	ABCB1|ABCC1
KP-1212	Phase 2		
KPT-185	Preclinical	exportin antagonist	XPO1
KPT-276	Preclinical	exportin antagonist	XPO1
KRN-633	Preclinical	VEGFR inhibitor	FLT1|FLT4|KDR
KT-433	Phase 2	uricosuric agent	
ku-0063794	Preclinical	mTOR inhibitor	MTOR
KU-55933	Preclinical	ATM kinase inhibitor	ATM|PRKDC
KU-60019	Preclinical	ATM kinase inhibitor	ATM
kuromanin	Preclinical	ribosyl cyclase inhibitor	CD38
KU14R	Preclinical	imidazoline receptor antagonist	
KW-2449	Phase 1	Abl kinase inhibitor|Aurora kinase inhibitor|FLT3 inhibitor	ABL1|AURKA|AURKB|FLT3
KW-2478	Phase 1/Phase 2	HSP inhibitor	
KX2-391	Phase 2	src inhibitor|tubulin polymerization inhibitor	SRC
kynurenic-acid	Preclinical	glutamate receptor antagonist	GPR35|GRIN1|GRIN2A|GRIN2B
KY02111	Preclinical	Wnt pathway inhibitor	DKK1
K02288	Preclinical	bone morphogenic protein inhibitor	BMP1
K145	Preclinical	sphingosine kinase inhibitor	SPHK2
L-(+)-Rhamnose-Monohydrate	Preclinical		
L-alanine	Launched		
L-Arginine	Launched	nitric oxide precursor	ARG2|ASL|ASS1|AZIN2|GPRC6A|NOS2|NOS3|SLC7A1|SLC7A3|SLC7A4
L-Ascorbyl-6-palmitate	Preclinical		
L-asparagine	Phase 3		ASNS|ASRGL1|NARS|NARS2|SLC1A5|SLC38A3
L-asparagine-n-hydroxy	Preclinical		
L-Aspartic-Acid	Launched	metallic radical formation stimulant	ACY1|ACY3|ADSS|ADSSL1|ASNS|ASPA|ASPH|ASRGL1|ASS1|CAD|DARS|DARS2|GOT1|GOT2|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|LYZ|PAICS|RNASE1|SLC1A1|SLC25A12|SLC25A13
L-Citrulline	Launched	nitric oxide stimulant	ASS1|DDAH1|DDAH2|GPRC6A|NOS1|NOS2|NOS3|OTC|PADI1|PADI2|PADI3|PADI4|PADI6
L-cysteine	Launched		CARS|CARS2|CBS|CDO-1|CDO1|CSAD|CTH|GCLC|GCLM|GOT1|GSS|MGMT|NFS1|SLC19A3
L-Cysteinesulfinic-acid	Preclinical	glutamate receptor agonist	GRM1|GRM5|GSR|HMGCS2|PAPOLA|PRDX2
L-Cystine	Launched		CTNS|SLC3A1|SLC7A11|SLC7A9
L-ergothioneine	Phase 2	free radical scavenger	
L-glutamic-acid	Launched	glutamate receptor agonist	AADAT|AASS|ABAT|ALDH18A1|ASNS|BCAT1|BCAT2|CCBL2|DNPEP|EARS2|ENPEP|EPRS|FOLH1|FPGS|FTCD|GAD1|GAD2|GATB|GCLC|GCLM|GGCX|GLS|GLS2|GLUD1|GLUD2|GLUL|GMPS|GOT1|GOT2|GPT|GPT2|GRIA1|GRIA2|GRIA3|GRIA4|GRID1|GRID2|GRIK1|GRIK2|GRIK3|GRIK4|GRIK5|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|GRM1|GRM2|GRM3|GRM4|GRM6|GRM7|GRM8|LGSN|NADSYN1|NAGS|OPLAH|PFAS|PGCP|PSAT1|SLC1A1|SLC1A2|SLC1A3|SLC1A6|SLC1A7|SLC25A18|SLC25A22|SLC7A11|TAT
L-Hydroxyproline	Launched		
L-leucine	Phase 3		BCAT1|BCAT2|LARS|LARS2|LCMT1|LCMT2
L-lysine	Phase 2	serotonin receptor agonist	GPRC6A|KARS|SLC7A1|SLC7A2|SLC7A3|SLC7A4
L-methionine	Launched	voltage-gated calcium channel ligand	
L-mimosine	Preclinical	dopamine beta hydroxylase inhibitor|eukaryotic translation initiation factor inhibitor	DBH|EIF5A
L-monomethylarginine	Phase 3	nitric oxide synthase inhibitor	NOS1|NOS2
L-NAME	Phase 2/Phase 3	nitric oxide synthase inhibitor	NOS3
L-NIL	Preclinical	nitric oxide synthase inhibitor	NOS1|NOS2|NOS3
L-proline	Launched	glutamate receptor agonist	EPRS|L3HYPDH|P3H1|P3H2|P3H3|P4HA1|P4HA2|PARS2|PPIA|PPIB|PPIC|PPIF|PPIG|PPIH|PRODH|PROSC|PYCR1|PYCR2|PYCRL|SLC6A14|SLC6A7
L-Quisqualic-acid	Preclinical	glutamate receptor agonist	FOLH1|GRIA2|GRIK1|GRIK2|GRM1|GRM2|GRM3|GRM5|GRM7|GRM8
L-Theanine	Launched	glutamate receptor antagonist	
L-threonine	Phase 2		TARS|TARS2|THNSL1
L-152804	Preclinical	neuropeptide receptor antagonist	NPY5R
L-161982	Preclinical	prostanoid receptor antagonist	PTGER4
L-165041	Preclinical	PPAR receptor agonist	PPARD
L-168049	Preclinical	glucagon receptor antagonist	GCGR
L-365260	Phase 2	CCK receptor antagonist	CCKAR|CCKBR|KCNQ1
L-368899	Phase 1	oxytocin receptor antagonist	AVPR1A|AVPR2|OXTR
L-655240	Phase 1	thromboxane receptor antagonist	PTGES
L-670596	Preclinical	prostanoid receptor antagonist	
L-689560	Preclinical	glutamate receptor antagonist	GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D
L-690330	Preclinical	inositol monophosphatase inhibitor	IMPA1
L-693403	Preclinical	sigma receptor agonist|sigma receptor antagonist	DRD2|SIGMAR1
L-694247	Preclinical	serotonin receptor agonist	HTR1A|HTR1B|HTR1D
L-701252	Preclinical	glutamate receptor antagonist	GRIN1
L-701324	Preclinical	glutamate receptor antagonist	GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D
L-733060	Preclinical	tachykinin antagonist	TACR1
L-741742	Preclinical	dopamine receptor antagonist	DRD3|DRD4|SCN1A|SCN3A
L-745870	Preclinical	dopamine receptor antagonist	DRD1|DRD2|DRD3|DRD4|HTR1A|HTR2A|HTR6|HTR7
L-755507	Preclinical	adrenergic receptor agonist	ADRB1|ADRB2|ADRB3
L-778123	Phase 1	farnesyltransferase inhibitor	FNTA|FNTB|PGGT1B
labetalol	Launched	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRB1|ADRB2
lacidipine	Launched	calcium channel blocker	CACNA1C
lacitol	Launched	osmosis stimulant	
lacosamide	Launched	collapsin response mediator protein inhibitor|collapsin response mediator protein stimulant|sodium channel blocker	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A
lactulose	Launched	laxative	
lafutidine	Launched	histamine receptor antagonist	HRH2
lamivudine	Launched	nucleoside reverse transcriptase inhibitor	
lamotrigine	Launched	serotonin receptor antagonist|sodium channel blocker	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A
lanatoside-c	Preclinical	cardiac glycoside	
landiolol	Launched	adrenergic receptor antagonist	ADRB1
lanoconazole	Launched	sterol demethylase inhibitor	
lansoprazole	Launched	ATPase inhibitor	ATP4A|ATP4B
lapatinib	Launched	EGFR inhibitor	EGFR|ERBB2
lappaconite	Phase 2	sodium channel blocker	
laquinimod	Phase 3	immunosuppressant	CXCL2
laropiprant	Launched	prostanoid receptor antagonist	PTGDR|PTGDR2|PTGER1|PTGER2|PTGER3|PTGFR|PTGIR|TBXA2R
lasalocid	Launched	bacterial permeability inducer	
